上品,たたずまい
たたずまい,エントランス
エントランス,他
他,雰囲気
雰囲気,チャペル
チャペル,存在
存在,ホテル
ホテル,バリアフリー
バリアフリー,自由
自由,居室
居室,日当たり
日当たり,良好
良好,テラス
テラス,いす
いす,談笑
談笑,楽しい
楽しい,人
人,裕福
裕福,人数
人数,クオリティ
クオリティ,方々
方々,品
品,退屈
退屈,アクティビティ
アクティビティ,年間
年間,行事
行事,他
他,チャペル
チャペル,コンサート
コンサート,特定
特定,うれしい
うれしい,方途
方途,一緒
一緒,お話
お話,楽しい
楽しい,趣味
趣味,腕
腕,生活
生活,目的
目的,方途
方途,知人
知人,低価格
低価格,管理費
管理費,食費
食費,1日
1日,口座
口座,引き落とし
引き落とし,複数
複数,人数
人数,手厚い
手厚い,場所
場所,充実
充実,高い
高い,余裕
余裕,十分
十分,グループ
グループ,会社
会社,料理人
料理人,四季
四季,料理
料理,提供
提供,雰囲気
雰囲気,レストラン
レストラン,味
味,味
味,相談
相談,個々
個々,知人
知人,歯
歯,定期的
定期的,相談
相談,やすい
やすい,味
味,相談
相談,満足
満足,規模
規模,手厚い
手厚い,話
話,お話
お話,知人
知人,質
質,説明
説明,細か
細か,お願い
お願い,嫌
嫌,顔
顔,雰囲気
雰囲気,上品
上品,余裕
余裕,印象
印象,住宅街
住宅街,場所
場所,暮らし
暮らし,祖師谷公園
祖師谷公園,自然
自然,場所
場所,環境
環境,申し分
申し分,小田急線
小田急線,成城学園前
成城学園前,駅
駅,徒歩
徒歩,アクセス
アクセス,悪い
玄関,廊下
廊下,手すり
手すり,自分
自分,歩行
歩行,催し物
催し物,計画
計画,クリスマス
クリスマス,交流
交流,楽しみ
楽しみ,自分
自分,他
他,見学
見学,想定内
想定内,納得
納得,自宅
自宅,中心
中心,祭り
祭り,寿司
寿司,流動食
流動食,可能
可能,受付
受付,担当
担当,案内
案内,見学
見学,皆さん
皆さん,優しい
優しい,会話
会話,建物
建物,一緒
一緒,明るい
明るい,雰囲気
雰囲気,印象
印象,夜間
夜間,勤務
勤務,体制
体制,緊急
緊急,連絡
連絡,体制
体制,提携
提携,病院
病院,説明
説明,サービス
サービス,担当
担当,有名
有名,緑
緑,静か
静か,環境
環境,住宅街
住宅街,電車
電車,駅
駅,近い
近い,自宅
自宅,車
車,電話
電話,見学
見学,お願い
お願い,スムーズ
スムーズ,若い
若い,感じ
感じ,話
ホテル,作り
作り,優雅
優雅,人
人,参加
参加,楽しい
楽しい,生活
生活,飽き
飽き,工夫
工夫,知人
知人,利用
利用,妥当
妥当,金額
金額,金額
金額,本人
本人,満足
満足,感想
感想,栄養士
栄養士,バランス
バランス,メニュー
メニュー,皆さん
皆さん,趣味
趣味,心強い
心強い,体制
体制,職員
職員,高い
高い,病院
病院,連携
連携,スムーズ
スムーズ,成城
成城,緑
緑,景色
景色,最高
最高,高齢者
高齢者,辛い
辛い,電話
電話,問い合わせ
問い合わせ,迅速
迅速,丁寧
丁寧,非常
非常,印象
印象,待機
待機,いい
いい,気
祖父,外出
外出,入浴
入浴,サービス
サービス,トイレ
トイレ,介助
介助,親切
親切,若い
若い,爽やか
爽やか,折り紙
折り紙,手
手,自分
自分,1日
1日,活動
活動,大きい
大きい,介護施設
介護施設,利用
利用,金額
金額,必要
必要,ミキサー
ミキサー,最初
最初,祖父
祖父,ミキサー
ミキサー,支給
支給,完璧
完璧,ミキサー
ミキサー,雰囲気
雰囲気,爽やか
爽やか,感じ
感じ,若い
若い,おおい
おおい,地域
地域,利用者
利用者,挨拶
挨拶,祖父
祖父,利用
利用,なかった
なかった,医療
医療,体制
体制,詳しい
詳しい,送迎
送迎,気軽
気軽,利用
利用,いす
いす,車
車,駐車場
駐車場,広い
広い,期間
期間,訪問
高級,改善
改善,トイレ
トイレ,丁寧
丁寧,印象
印象,年間
年間,季節
季節,行事
行事,それなり
それなり,チャペル
チャペル,雰囲気
雰囲気,行事
行事,場所
場所,それなり
それなり,値段
値段,栄養
栄養,健康
健康,管理
管理,プロ
プロ,大丈夫
大丈夫,見学
見学,皆さん
皆さん,自分
自分,好き
好き,自分
自分,好き
好き,素敵
素敵,緊急時
緊急時,体制
体制,職員
職員,研修
研修,静か
静か,住宅街
住宅街,最寄り
最寄り,バス停
バス停,バス
バス,苦手
苦手,人
人,電話
電話,相談
玄関,廊下
廊下,手すり
手すり,設置
設置,リハビリ
リハビリ,歩行
歩行,訓練
訓練,玄関
玄関,共有
共有,退屈
退屈,程度
程度,催し
催し,地域
地域,ボランティア
ボランティア,グループ
グループ,皆さん
皆さん,踊り
踊り,楽しみ
楽しみ,見学
見学,チェック
チェック,高い
高い,母親
母親,銀行口座
銀行口座,引き落とし
引き落とし,要望
要望,母親
母親,状況
状況,好き嫌い
好き嫌い,相応
相応,連絡
連絡,メニュー
メニュー,母親
母親,心配
心配,案内
案内,担当
担当,勤務
勤務,心強い
心強い,方途
方途,お話し
お話し,言葉
言葉,母親
母親,持病
持病,気
気,横浜
横浜,総合病院
総合病院,隣接
隣接,緊急
緊急,連絡
連絡,体制
体制,自分
自分,確認
確認,横浜市
横浜市,郊外
郊外,公園
公園,最高
最高,場所
場所,自分
自分,マンション
マンション,車
車,可能
可能,状況
状況,日常生活
日常生活,自由度
自由度,十分
十分,持病
持病,残念
プロ,コンサート
コンサート,レ
レ,Creation
Creation,幅
幅,広い
広い,月
月,都内
都内,高い
高い,安い
安い,管理栄養士
管理栄養士,美味しい
美味しい,活き活き
活き活き,雰囲気
雰囲気,最高
最高,趣味
趣味,元気
元気,医療
医療,定期的
定期的,研修
研修,参加
参加,高い
高い,都内
都内,住宅地
住宅地,静か
静か,最寄り
最寄り,バス停
バス停,徒歩圏内
徒歩圏内,アクセス
アクセス,やすい
建物,外観
外観,おしゃれ
おしゃれ,ヨーロッパ
ヨーロッパ,建物
建物,造り
造り,外観
外観,建物
建物,インテリア
インテリア,素敵
素敵,清掃
清掃,一年
一年,季節
季節,開催
開催,チャペル
チャペル,日本
日本,体験
体験,催し
催し,参加
参加,体制
体制,看護
看護,医療
医療,成城
成城,緑
緑,静か
静か,環境
環境,駅
駅,遠い
遠い,高齢者
高齢者,辛い
要素,チャペル
チャペル,嬉しい
嬉しい,建物
建物,自体
自体,建物
建物,無い
無い,目
目,規模
規模,大きい
大きい,程度
程度,広い
広い,一般
一般,有料老人ホーム
有料老人ホーム,広い
広い,日本
日本,ロング
ロング,ライフ
ライフ,女性
女性,サービス
サービス,重視
重視,方々
方々,旅行
旅行,高級
高級,レストラン
レストラン,他
他,老人ホーム
老人ホーム,成城
成城,場所
場所,ロング
ロング,ライフ
ライフ,低価格
低価格,値段
値段,それなり
それなり,値段
値段,成城学園前
成城学園前,最寄駅
最寄駅,祖師谷公園
祖師谷公園,閑静
閑静,住宅街
住宅街,老人ホーム
老人ホーム,イメージ
イメージ,静か
静か,場所
場所,老人ホーム
生活,設備
設備,トイレ
トイレ,バス
バス,キッチン
キッチン,ホテル
ホテル,雰囲気
雰囲気,要介護
要介護,各階
各階,設備
設備,豪華
豪華,設備
設備,調度
調度,ゴージャス
ゴージャス,雰囲気
雰囲気,サービス
サービス,家庭
家庭,雰囲気
雰囲気,季節
季節,多目的ホール
多目的ホール,コンサート
コンサート,地域
地域,子供
子供,定期的
定期的,サポート
サポート,感じ
感じ,必要
必要,あと
あと,月額
月額,家賃
家賃,管理費
管理費,食費
食費,必要
必要,提供
提供,専門
専門,会社
会社,人
人,健康
健康,状態
状態,提供
提供,非常
非常,楽しみ
楽しみ,満足
満足,提供
提供,心
心,最高
最高,クオリティ
クオリティ,サービス
サービス,サポート
サポート,快適
快適,満足度
満足度,高い
高い,生活
生活,安全
安全,看護
看護,医療
医療,体制
体制,成城学園
成城学園,バス
バス,バス停
バス停,徒歩
徒歩,閑静
閑静,住宅街
住宅街,祖師谷公園
祖師谷公園,緑
緑,妻
妻,お話
